sales_id;year;release_date;title;genre;international_box_office;domestic_box_office;worldwide_box_office
1;2000;January 1st;Bakha Satang;Drama;76576;n/a;76576
2;2001;January 12th;Antitrust;Thriller/Suspense;6900000;10965209;17865209
3;2000;January 28th;Santitos;;;378562;
4;2002;2002 (Wide) by ;Frank McKlusky C.I.;;;n/a;
5;2002;January 25th;A Walk to Remember;Drama;4833792;41227069;46060861
6;2002;June 21st;Zig Zag;;;1649;
7;2002;May 10th;TakhtÃƒÂ© siah;Drama;;21324;
8;2009;January 2nd;Angry Monk: Reflections on Tibet, The;Documentary;;2125;
9;2002;June 7th;30 Years to Life;Comedy;;99023;
10;2008;January 2nd;The Killing of John Lennon;Drama;;6975;
11;2008;January 18th;Mad Money;Comedy;4375214;20668843;25044057
12;2008;January 18th;Little Chenier;Drama;;87939;
13;2008;February 1st;Over Her Dead Body;Comedy;14025947;7570127;21596074
14;2008;February 15th;O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias;Drama;1800000;807117;2607117
15;2008;February 15th;120;Drama;1334204;n/a;1334204
16;2008;February 29th;The Other Boleyn Girl;Drama;51455013;26814957;78269970
17;2008;February 29th;A Lawyer Walks into a Bar;Documentary;;5202;
18;2008;March 8th;La Rondine;Concert/Performance;;49088;
19;2011;December 30th;Jodaeiye Nader az Simin;Drama;17327677;7098492;24426169
20;2011;December 28th;Pariah;Drama;;769552;
21;2011;December 25th;War Horse;Drama;76932170;79883359;156815529
22;2011;April 6th;Habemus Papam;Comedy;9917173;486902;10404075
23;2011;December 29th;Ivan Tsarevich i Seryy Volk;Action;25047727;n/a;25047727
24;2011;December 28th;El Sicario Room 164;Documentary;;n/a;
25;2011;December 25th;Extremely Loud and Incredibly Close;Drama;23400000;31847881;55247881
26;2011;December 30th;Angels Crest;Drama;1205;832;2037
27;2011;December 28th;Paranormal Xperience;Horror;2812739;n/a;2812739
28;2011;December 25th;The Darkest Hour;Action;41388221;21443494;62831715
29;2011;December 23rd;Miss Minoes;Adventure;;10189;
30;2011;November 26th;We Bought a Zoo;Drama;43104523;75624550;118729073
31;2014;November 21st;Minuscule - La vallÃƒÂ©e des fourmis perdues;Adventure;1058457;n/a;1058457
32;2011;May 11th;Kiseki;Drama;766350;145808;912158
33;2011;December 23rd;In The Land of Blood and Honey;Drama;205316;303877;509193
