year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office
2000,January 1st,Bakha Satang,Drama,76576.00,n/a,76576.00
2001,January 12th,Antitrust,Thriller/Suspense,6900000.00,10965209.00,17865209.00
2000,January 28th,Santitos,,,378562.00,
2002,2002 (Wide) by ,Frank McKlusky C.I.,,,n/a,
2002,January 25th,A Walk to Remember,Drama,4833792.00,41227069.00,46060861.00
2002,June 21st,Zig Zag,,,1649.00,
2002,May 10th,TakhtÃ© siah,Drama,,21324.00,
2009,January 2nd,"Angry Monk: Reflections on Tibet, The",Documentary,,2125.00,
2002,June 7th,30 Years to Life,Comedy,,99023.00,
2008,January 2nd,The Killing of John Lennon,Drama,,6975.00,
2008,January 18th,Mad Money,Comedy,4375214.00,20668843.00,25044057.00
2008,January 18th,Little Chenier,Drama,,87939.00,
2008,February 1st,Over Her Dead Body,Comedy,14025947.00,7570127.00,21596074.00
2008,February 15th,O Ano em Que Meus Pais SaÃ­ram de FÃ©rias,Drama,1800000.00,807117.00,2607117.00
2008,February 15th,120,Drama,1334204.00,n/a,1334204.00
2008,February 29th,The Other Boleyn Girl,Drama,51455013.00,26814957.00,78269970.00
2008,February 29th,A Lawyer Walks into a Bar,Documentary,,5202.00,
2008,March 8th,La Rondine,Concert/Performance,,49088.00,
2011,December 30th,Jodaeiye Nader az Simin,Drama,17327677.00,7098492.00,24426169.00
2011,December 28th,Pariah,Drama,,769552.00,
2011,December 25th,War Horse,Drama,76932170.00,79883359.00,156815529.00
2011,April 6th,Habemus Papam,Comedy,9917173.00,486902.00,10404075.00
2011,December 29th,Ivan Tsarevich i Seryy Volk,Action,25047727.00,n/a,25047727.00
2011,December 28th,El Sicario Room 164,Documentary,,n/a,
2011,December 25th,Extremely Loud and Incredibly Close,Drama,23400000.00,31847881.00,55247881.00
2011,December 30th,Angels Crest,Drama,1205.00,832.00,2037.00
2011,December 28th,Paranormal Xperience,Horror,2812739.00,n/a,2812739.00
2011,December 25th,The Darkest Hour,Action,41388221.00,21443494.00,62831715.00
2011,December 23rd,Miss Minoes,Adventure,,10189.00,
2011,November 26th,We Bought a Zoo,Drama,43104523.00,75624550.00,118729073.00
2014,November 21st,Minuscule - La vallÃ©e des fourmis perdues,Adventure,1058457.00,n/a,1058457.00
2011,May 11th,Kiseki,Drama,766350.00,145808.00,912158.00
2011,December 23rd,In The Land of Blood and Honey,Drama,205316.00,303877.00,509193.00
2011,December 23rd,Prince of the Himalayas,Drama,,9178.00,
2011,December 22nd,Don 2,Action,30378610.00,3674480.00,34053090.00
2014,December 12th,We Are the Giant,Documentary,,1088.00,
2014,December 31st,Wang Pai,Drama,4590000.00,n/a,4590000.00
2015,July 24th,The Young Kieslowski,Romantic Comedy,,n/a,
2015,June 10th,Last Cab to Darwin,Drama,5786944.00,34193.00,5821137.00
2014,December 12th,Cong cong na nian,Drama,93470000.00,566853.00,94036853.00
2015,July 31st,Ghadi,Comedy,70149.00,n/a,70149.00
2015,July 31st,Fair Play,Drama,8747.00,n/a,8747.00
2015,August 14th,Meru,Documentary,16592.00,2334228.00,2350820.00
2015,August 21st,Station to Station,Documentary,1036.00,9494.00,10530.00
2015,August 14th,Karachi se Lahore,Comedy,17721.00,n/a,17721.00
2015,December 4th,Atrapa la bandera,Adventure,21131406.00,n/a,21131406.00
2015,September 10th,Alma,Romantic Comedy,567607.00,n/a,567607.00
2015,August 28th,"Boca Juniors 3D, la pelÃ­cula",Documentary,2171383.00,n/a,2171383.00
2015,September 18th,Life of Josutty,Comedy,7870.00,n/a,7870.00
2015,September 9th,Welcome to Leith,Documentary,381.00,36010.00,36391.00
2015,September 25th,Eso que llaman amor,Drama,231.00,n/a,231.00
2015,September 18th,The Man Who Saved the World,Documentary,2855.00,n/a,2855.00
2014,December 31st,Yuan Ling Ren Ou,Horror,3590000.00,n/a,3590000.00
2015,October 2nd,Hip Hop-eration,Documentary,6203.00,n/a,6203.00
2015,October 16th,"Kleine Ziege, sturer Bock",Comedy,67838.00,n/a,67838.00
2015,October 9th,Vesvese: Cin Tuzagi,Horror,15193.00,n/a,15193.00
2015,October 16th,Truth,Thriller/Suspense,4300726.00,2541854.00,6842580.00
2015,October 30th,Geunomida,Thriller/Suspense,697826.00,n/a,697826.00
